종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"052690","한전기술","KOSPI","일반서비스","147800","200","0.14","5648916000000"
"130660","한전산업","KOSPI","일반서비스","21400","1250","6.20","697640000000"
"002320","한진","KOSPI","운송·창고","21800","-250","-1.13","332123218000"
"003480","한진중공업홀딩스","KOSPI","전기·가스","5170","140","2.78","152669128040"
"180640","한진칼","KOSPI","기타금융","136100","7600","5.91","9086346171900"
"18064K","한진칼우","KOSPI","기타금융","40500","1000","2.53","21739023000"
"005110","한창","KOSPI","유통","1254","0","0.00","26467434378"
"009460","한창제지","KOSPI","종이·목재","519","-2","-0.38","30967425234"
"372910","한컴라이프케어","KOSPI","의료·정밀기기","2855","-20","-0.70","79010429130"
"000880","한화","KOSPI","화학","117800","-2100","-1.75","8830138983000"
"00088K","한화3우B","KOSPI","화학","46250","-450","-0.96","897455396250"
"452260","한화갤러리아","KOSPI","유통","2365","140","6.29","458477977650"
"45226K","한화갤러리아우","KOSPI","유통","10080","50","0.50","29277057600"
"451800","한화리츠","KOSPI","부동산","4850","50","1.04","871060000000"
"489790","한화비전","KOSPI","전기·전자","61300","-100","-0.16","3094938307000"
"088350","한화생명","KOSPI","보험","4830","335","7.45","4194999900000"
"000370","한화손해보험","KOSPI","보험","7560","80","1.07","882546197400"
"009830","한화솔루션","KOSPI","화학","45900","-1650","-3.47","7889867402400"
"009835","한화솔루션우","KOSPI","화학","28050","-1000","-3.44","72238539450"
"272210","한화시스템","KOSPI","전기·전자","103400","-2400","-2.27","19534264822600"
"012450","한화에어로스페이스","KOSPI","운송장비·부품","1105000","-26000","-2.30","56977558105000"
"082740","한화엔진","KOSPI","기계·장비","54000","-1000","-1.82","4506145668000"
"042660","한화오션","KOSPI","운송장비·부품","129800","-2000","-1.52","39772458541200"
"003530","한화투자증권","KOSPI","증권","7360","860","13.23","1579071624000"
"003535","한화투자증권우","KOSPI","증권","9570","440","4.82","45936000000"
"195870","해성디에스","KOSPI","전기·전자","58200","-2700","-4.43","989400000000"
"101530","해태제과식품","KOSPI","음식료·담배","6980","-100","-1.41","203235417560"
"143210","핸즈코퍼레이션","KOSPI","운송장비·부품","1146","-15","-1.29","25069606062"
"000720","현대건설","KOSPI","건설","114300","-1100","-0.95","12727963939500"
"000725","현대건설우","KOSPI","건설","66200","900","1.38","69820676600"
"453340","현대그린푸드","KOSPI","유통","16170","-80","-0.49","530688824820"
"086280","현대글로비스","KOSPI","운송·창고","255000","-6000","-2.30","19125000000000"
"064350","현대로템","KOSPI","운송장비·부품","201500","-4500","-2.18","21992172039500"
"079430","현대리바트","KOSPI","기타제조","7040","0","0.00","144568385280"
"012330","현대모비스","KOSPI","운송장비·부품","435000","-11000","-2.47","39468673605000"
"069960","현대백화점","KOSPI","유통","109800","-1100","-0.99","2484643667400"
"004560","현대비앤지스틸","KOSPI","금속","17930","-420","-2.29","270363081230"
"004310","현대약품","KOSPI","제약","14340","1220","9.30","458880000000"
"017800","현대엘리베이터","KOSPI","기계·장비","103300","4900","4.98","4038243370500"
"307950","현대오토에버","KOSPI","IT 서비스","436500","-19500","-4.28","11970568143000"
"011210","현대위아","KOSPI","운송장비·부품","83900","-2600","-3.01","2281667463700"
"004020","현대제철","KOSPI","금속","33500","-300","-0.89","4470433797500"
"005440","현대지에프홀딩스","KOSPI","기타금융","14420","490","3.52","2248140020420"
"005380","현대차","KOSPI","운송장비·부품","499000","-7000","-1.38","102174125234000"
"005387","현대차2우B","KOSPI","운송장비·부품","263000","-500","-0.19","9195513590000"
"005389","현대차3우B","KOSPI","운송장비·부품","253500","1000","0.40","590009082000"
"005385","현대차우","KOSPI","운송장비·부품","261000","-1000","-0.38","6091990560000"
"001500","현대차증권","KOSPI","증권","10680","880","8.98","660376909920"
"011760","현대코퍼레이션","KOSPI","유통","25900","-500","-1.89","342630219400"
"227840","현대코퍼레이션홀딩스","KOSPI","유통","13560","200","1.50","123407336160"
"126560","현대퓨처넷","KOSPI","통신","3420","-15","-0.44","376894071900"
"001450","현대해상","KOSPI","보험","35450","1950","5.82","3169230000000"
"057050","현대홈쇼핑","KOSPI","유통","79300","1800","2.32","951600000000"
"093240","형지엘리트","KOSPI","섬유·의류","1229","12","0.99","75448628311"
"003010","혜인","KOSPI","유통","5500","-90","-1.61","69920108500"
"111110","호전실업","KOSPI","섬유·의류","8070","-20","-0.25","75664320000"
"008770","호텔신라","KOSPI","유통","48800","-1150","-2.30","1915308304800"
"008775","호텔신라우","KOSPI","유통","36600","-400","-1.08","27518771400"
"378850","화승알앤에이","KOSPI","운송장비·부품","3600","-60","-1.64","68377042800"
"241590","화승엔터프라이즈","KOSPI","섬유·의류","5330","-170","-3.09","322940841080"
"006060","화승인더","KOSPI","유통","3450","10","0.29","190854000000"
"013520","화승코퍼레이션","KOSPI","운송장비·부품","2580","-40","-1.53","129132230160"
"010690","화신","KOSPI","운송장비·부품","10670","-750","-6.57","372600774700"
"133820","화인베스틸","KOSPI","금속","1505","-39","-2.53","55857325510"
"010660","화천기계","KOSPI","기계·장비","5700","-30","-0.52","125400000000"
"000850","화천기공","KOSPI","기계·장비","42650","-100","-0.23","93830000000"
"016580","환인제약","KOSPI","제약","10760","10","0.09","200136753200"
"032560","황금에스티","KOSPI","금속","6230","-80","-1.27","105910000000"
"004800","효성","KOSPI","기타금융","161900","11900","7.93","2710271893300"
"094280","효성ITX","KOSPI","일반서비스","12870","-10","-0.08","148754034000"
"298040","효성중공업","KOSPI","전기·전자","2384000","-21000","-0.87","22229722432000"
"298020","효성티앤씨","KOSPI","화학","404000","1500","0.37","1748383528000"
"298000","효성화학","KOSPI","화학","38900","0","0.00","147501447900"
"093370","후성","KOSPI","화학","8050","-230","-2.78","863405406500"
"005870","휴니드","KOSPI","전기·전자","8370","-90","-1.06","118151045550"
"079980","휴비스","KOSPI","화학","2925","20","0.69","100912500000"
"005010","휴스틸","KOSPI","금속","4290","-45","-1.04","241046841750"
"000540","흥국화재","KOSPI","보험","4400","145","3.41","282667638000"
"000545","흥국화재우","KOSPI","보험","7230","60","0.84","5552640000"
"003280","흥아해운","KOSPI","운송·창고","1718","-21","-1.21","413049976482"
